,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2469579,1805-10-01,25.967,2.039,Gandhinagar,India,23.31N,72.52E
2469580,1805-11-01,23.513,2.571,Gandhinagar,India,23.31N,72.52E
2469581,1805-12-01,21.269,1.55,Gandhinagar,India,23.31N,72.52E
2469582,1806-01-01,19.702,1.925,Gandhinagar,India,23.31N,72.52E
2469583,1806-02-01,21.519,2.471,Gandhinagar,India,23.31N,72.52E
2469584,1806-03-01,25.726,2.083,Gandhinagar,India,23.31N,72.52E
2469585,1806-04-01,30.465,2.7260000000000004,Gandhinagar,India,23.31N,72.52E
2469586,1806-05-01,33.192,1.767,Gandhinagar,India,23.31N,72.52E
2469587,1806-06-01,30.812,1.784,Gandhinagar,India,23.31N,72.52E
2469588,1806-07-01,28.727,1.642,Gandhinagar,India,23.31N,72.52E
2469589,1806-08-01,28.193,1.727,Gandhinagar,India,23.31N,72.52E
2469590,1806-09-01,28.77,1.973,Gandhinagar,India,23.31N,72.52E
2469591,1806-10-01,26.883000000000006,1.5730000000000002,Gandhinagar,India,23.31N,72.52E
2469592,1806-11-01,24.034,1.862,Gandhinagar,India,23.31N,72.52E
2469593,1806-12-01,20.874,2.067,Gandhinagar,India,23.31N,72.52E
2469594,1807-01-01,18.445,2.273,Gandhinagar,India,23.31N,72.52E
2469595,1807-02-01,21.416,2.927,Gandhinagar,India,23.31N,72.52E
2469596,1807-03-01,,,Gandhinagar,India,23.31N,72.52E
2469597,1807-04-01,,,Gandhinagar,India,23.31N,72.52E
2469598,1807-05-01,31.055000000000003,1.71,Gandhinagar,India,23.31N,72.52E
2469599,1807-06-01,32.19,1.504,Gandhinagar,India,23.31N,72.52E
2469600,1807-07-01,29.279,2.134,Gandhinagar,India,23.31N,72.52E
2469601,1807-08-01,27.708,1.89,Gandhinagar,India,23.31N,72.52E
2469602,1807-09-01,28.481,1.5830000000000002,Gandhinagar,India,23.31N,72.52E
2469603,1807-10-01,26.836,1.537,Gandhinagar,India,23.31N,72.52E
2469604,1807-11-01,24.087,2.225,Gandhinagar,India,23.31N,72.52E
2469605,1807-12-01,21.5,1.7380000000000002,Gandhinagar,India,23.31N,72.52E
2469606,1808-01-01,,,Gandhinagar,India,23.31N,72.52E
2469607,1808-02-01,,,Gandhinagar,India,23.31N,72.52E
2469608,1808-03-01,,,Gandhinagar,India,23.31N,72.52E
2469609,1808-04-01,,,Gandhinagar,India,23.31N,72.52E
2469610,1808-05-01,,,Gandhinagar,India,23.31N,72.52E
2469611,1808-06-01,,,Gandhinagar,India,23.31N,72.52E
2469612,1808-07-01,,,Gandhinagar,India,23.31N,72.52E
2469613,1808-08-01,,,Gandhinagar,India,23.31N,72.52E
2469614,1808-09-01,,,Gandhinagar,India,23.31N,72.52E
2469615,1808-10-01,,,Gandhinagar,India,23.31N,72.52E
2469616,1808-11-01,,,Gandhinagar,India,23.31N,72.52E
2469617,1808-12-01,,,Gandhinagar,India,23.31N,72.52E
2469618,1809-01-01,,,Gandhinagar,India,23.31N,72.52E
2469619,1809-02-01,,,Gandhinagar,India,23.31N,72.52E
2469620,1809-03-01,,,Gandhinagar,India,23.31N,72.52E
2469621,1809-04-01,,,Gandhinagar,India,23.31N,72.52E
2469622,1809-05-01,,,Gandhinagar,India,23.31N,72.52E
2469623,1809-06-01,,,Gandhinagar,India,23.31N,72.52E
2469624,1809-07-01,,,Gandhinagar,India,23.31N,72.52E
2469625,1809-08-01,,,Gandhinagar,India,23.31N,72.52E
2469626,1809-09-01,,,Gandhinagar,India,23.31N,72.52E
2469627,1809-10-01,,,Gandhinagar,India,23.31N,72.52E
2469628,1809-11-01,,,Gandhinagar,India,23.31N,72.52E
2469629,1809-12-01,,,Gandhinagar,India,23.31N,72.52E
2469630,1810-01-01,,,Gandhinagar,India,23.31N,72.52E
2469631,1810-02-01,,,Gandhinagar,India,23.31N,72.52E
2469632,1810-03-01,,,Gandhinagar,India,23.31N,72.52E
2469633,1810-04-01,,,Gandhinagar,India,23.31N,72.52E
2469634,1810-05-01,,,Gandhinagar,India,23.31N,72.52E
2469635,1810-06-01,,,Gandhinagar,India,23.31N,72.52E
2469636,1810-07-01,,,Gandhinagar,India,23.31N,72.52E
2469637,1810-08-01,,,Gandhinagar,India,23.31N,72.52E
2469638,1810-09-01,,,Gandhinagar,India,23.31N,72.52E
2469639,1810-10-01,,,Gandhinagar,India,23.31N,72.52E
2469640,1810-11-01,,,Gandhinagar,India,23.31N,72.52E
2469641,1810-12-01,,,Gandhinagar,India,23.31N,72.52E
2469642,1811-01-01,,,Gandhinagar,India,23.31N,72.52E
2469643,1811-02-01,,,Gandhinagar,India,23.31N,72.52E
2469644,1811-03-01,,,Gandhinagar,India,23.31N,72.52E
2469645,1811-04-01,,,Gandhinagar,India,23.31N,72.52E
2469646,1811-05-01,,,Gandhinagar,India,23.31N,72.52E
2469647,1811-06-01,,,Gandhinagar,India,23.31N,72.52E
2469648,1811-07-01,,,Gandhinagar,India,23.31N,72.52E
2469649,1811-08-01,,,Gandhinagar,India,23.31N,72.52E
2469650,1811-09-01,,,Gandhinagar,India,23.31N,72.52E
2469651,1811-10-01,,,Gandhinagar,India,23.31N,72.52E
2469652,1811-11-01,,,Gandhinagar,India,23.31N,72.52E
2469653,1811-12-01,,,Gandhinagar,India,23.31N,72.52E
2469654,1812-01-01,,,Gandhinagar,India,23.31N,72.52E
2469655,1812-02-01,,,Gandhinagar,India,23.31N,72.52E
2469656,1812-03-01,,,Gandhinagar,India,23.31N,72.52E
2469657,1812-04-01,,,Gandhinagar,India,23.31N,72.52E
2469658,1812-05-01,,,Gandhinagar,India,23.31N,72.52E
2469659,1812-06-01,,,Gandhinagar,India,23.31N,72.52E
2469660,1812-07-01,,,Gandhinagar,India,23.31N,72.52E
2469661,1812-08-01,,,Gandhinagar,India,23.31N,72.52E
2469662,1812-09-01,,,Gandhinagar,India,23.31N,72.52E
2469663,1812-10-01,,,Gandhinagar,India,23.31N,72.52E
2469664,1812-11-01,,,Gandhinagar,India,23.31N,72.52E
2469665,1812-12-01,,,Gandhinagar,India,23.31N,72.52E
2469666,1813-01-01,16.792,2.809,Gandhinagar,India,23.31N,72.52E
2469667,1813-02-01,20.915000000000006,1.742,Gandhinagar,India,23.31N,72.52E
2469668,1813-03-01,23.905,5.19,Gandhinagar,India,23.31N,72.52E
2469669,1813-04-01,30.955,1.661,Gandhinagar,India,23.31N,72.52E
2469670,1813-05-01,33.739000000000004,4.41,Gandhinagar,India,23.31N,72.52E
2469671,1813-06-01,31.138,2.267,Gandhinagar,India,23.31N,72.52E
2469672,1813-07-01,28.719,1.831,Gandhinagar,India,23.31N,72.52E
2469673,1813-08-01,26.616,1.346,Gandhinagar,India,23.31N,72.52E
2469674,1813-09-01,27.864,1.721,Gandhinagar,India,23.31N,72.52E
2469675,1813-10-01,26.4,1.599,Gandhinagar,India,23.31N,72.52E
2469676,1813-11-01,24.942,1.639,Gandhinagar,India,23.31N,72.52E
2469677,1813-12-01,19.029,1.809,Gandhinagar,India,23.31N,72.52E
2469678,1814-01-01,17.983999999999995,2.878,Gandhinagar,India,23.31N,72.52E
2469679,1814-02-01,21.064,1.67,Gandhinagar,India,23.31N,72.52E
2469680,1814-03-01,24.876,2.154,Gandhinagar,India,23.31N,72.52E
2469681,1814-04-01,29.557,1.6880000000000002,Gandhinagar,India,23.31N,72.52E
2469682,1814-05-01,,,Gandhinagar,India,23.31N,72.52E
2469683,1814-06-01,31.618,1.778,Gandhinagar,India,23.31N,72.52E
2469684,1814-07-01,27.127,2.62,Gandhinagar,India,23.31N,72.52E
2469685,1814-08-01,26.57,1.571,Gandhinagar,India,23.31N,72.52E
2469686,1814-09-01,26.568,1.477,Gandhinagar,India,23.31N,72.52E
2469687,1814-10-01,25.654,3.134,Gandhinagar,India,23.31N,72.52E
2469688,1814-11-01,24.837,4.294,Gandhinagar,India,23.31N,72.52E
2469689,1814-12-01,21.967,4.634,Gandhinagar,India,23.31N,72.52E
2469690,1815-01-01,18.574,2.298,Gandhinagar,India,23.31N,72.52E
2469691,1815-02-01,21.592,4.42,Gandhinagar,India,23.31N,72.52E
2469692,1815-03-01,24.879,3.176,Gandhinagar,India,23.31N,72.52E
2469693,1815-04-01,30.206000000000003,2.689,Gandhinagar,India,23.31N,72.52E
2469694,1815-05-01,32.262,2.902,Gandhinagar,India,23.31N,72.52E
2469695,1815-06-01,29.289,1.796,Gandhinagar,India,23.31N,72.52E
2469696,1815-07-01,28.275,2.45,Gandhinagar,India,23.31N,72.52E
2469697,1815-08-01,26.857,1.705,Gandhinagar,India,23.31N,72.52E
2469698,1815-09-01,27.126,1.466,Gandhinagar,India,23.31N,72.52E
2469699,1815-10-01,25.24,2.713,Gandhinagar,India,23.31N,72.52E
2469700,1815-11-01,22.573,2.191,Gandhinagar,India,23.31N,72.52E
2469701,1815-12-01,18.522,2.069,Gandhinagar,India,23.31N,72.52E
2469702,1816-01-01,19.099,3.862,Gandhinagar,India,23.31N,72.52E
2469703,1816-02-01,18.656,2.184,Gandhinagar,India,23.31N,72.52E
2469704,1816-03-01,24.87,1.954,Gandhinagar,India,23.31N,72.52E
2469705,1816-04-01,29.427,3.417,Gandhinagar,India,23.31N,72.52E
2469706,1816-05-01,32.624,1.992,Gandhinagar,India,23.31N,72.52E
2469707,1816-06-01,30.632,2.002,Gandhinagar,India,23.31N,72.52E
2469708,1816-07-01,26.727,1.774,Gandhinagar,India,23.31N,72.52E
2469709,1816-08-01,26.131,1.234,Gandhinagar,India,23.31N,72.52E
2469710,1816-09-01,26.051,1.294,Gandhinagar,India,23.31N,72.52E
2469711,1816-10-01,24.289,4.793,Gandhinagar,India,23.31N,72.52E
2469712,1816-11-01,22.68,5.497999999999999,Gandhinagar,India,23.31N,72.52E
2469713,1816-12-01,18.993,1.7919999999999998,Gandhinagar,India,23.31N,72.52E
2469714,1817-01-01,18.439,3.923,Gandhinagar,India,23.31N,72.52E
2469715,1817-02-01,21.72,2.481,Gandhinagar,India,23.31N,72.52E
2469716,1817-03-01,25.569000000000003,2.095,Gandhinagar,India,23.31N,72.52E
2469717,1817-04-01,30.113000000000003,1.953,Gandhinagar,India,23.31N,72.52E
2469718,1817-05-01,31.448000000000004,2.074,Gandhinagar,India,23.31N,72.52E
2469719,1817-06-01,29.809,1.723,Gandhinagar,India,23.31N,72.52E
2469720,1817-07-01,27.227,1.764,Gandhinagar,India,23.31N,72.52E
2469721,1817-08-01,27.089,1.715,Gandhinagar,India,23.31N,72.52E
2469722,1817-09-01,25.075,2.295,Gandhinagar,India,23.31N,72.52E
2469723,1817-10-01,24.849,2.496,Gandhinagar,India,23.31N,72.52E
2469724,1817-11-01,23.037,2.258,Gandhinagar,India,23.31N,72.52E
2469725,1817-12-01,18.356,2.592,Gandhinagar,India,23.31N,72.52E
2469726,1818-01-01,18.631,2.984,Gandhinagar,India,23.31N,72.52E
2469727,1818-02-01,20.247,2.023,Gandhinagar,India,23.31N,72.52E
2469728,1818-03-01,26.226,1.935,Gandhinagar,India,23.31N,72.52E
2469729,1818-04-01,31.360000000000007,4.505,Gandhinagar,India,23.31N,72.52E
2469730,1818-05-01,33.265,2.704,Gandhinagar,India,23.31N,72.52E
2469731,1818-06-01,31.968000000000004,3.4410000000000003,Gandhinagar,India,23.31N,72.52E
